Country Name,Country Code,"Population2023","GrowthRate2023","FertilityRate2022","LifeExpectancy2022","DeathRate2022","MortalityRate2022","NetMigration2022"
Romania,ROU,19056116,0.0004781328133987017,1.81,75.3048780487805,14.3,5.5,331098.5
Russian Federation,RUS,143826130,-0.0028481124179200457,1.416,72.54560975609756,12.9,3.8,403015.5
Rwanda,RWA,14094683,0.02308136536055305,3.749,67.129,5.847,28.8,-8999.0
South Asia,SAS,1938549529,0.01000419361158067,2.216560126190642,68.1609330214255,8.37629590288004,30.7,-1176069.0
Saudi Arabia,SAU,36947025,0.014782269790671654,2.393,77.905,2.752,5.5,28998.0
Sudan,SDN,48109006,0.02634289000406276,4.384,65.578,6.677,37.0,-9999.0
Senegal,SEN,17763163,0.02579709038498601,4.314,67.913,5.548,28.2,-19999.0
Singapore,SGP,5917648,0.049782668934057694,1.04,82.89512195121952,6.3,1.8,26998.0
Solomon Islands,SLB,740424,0.022299602497953156,3.925,70.742,4.888,15.7,-1600.0
Sierra Leone,SLE,8791092,0.02154079415569976,3.876,60.411,8.909,76.0,-4000.0
El Salvador,SLV,6364943,0.0045058765303662715,1.785,71.475,8.173,10.2,-23249.0
San Marino,SMR,33642,-0.0005347593582887278,,,7.8,1.3,100.0
Somalia,SOM,18143378,0.031019557254432284,6.202,56.107,11.012,68.0,-30000.0
Serbia,SRB,6618026,-0.006965767162446568,1.63,75.48219512195122,16.2,4.4,-9999.0
Sub-Saharan Africa (excluding high income),SSA,1241778044,0.02535602141565163,4.529470835094541,60.7631048177053,8.822061220507823,48.56023480931446,-457536.5
South Sudan,SSD,11088796,0.01609359118950282,4.337,55.567,10.745,63.8,-26992.5
Sub-Saharan Africa,SSF,1241897817,0.02535342510200156,4.529261270617003,60.76439997752778,8.821960061602292,48.6,-457736.5
Small states,SST,20086203,0.010301795312188666,2.210942959670418,72.16452552417641,7.844102138386809,21.8908069522036,-29166.5
Sao Tome and Principe,STP,231856,0.019685108628727296,3.751,68.794,5.838,11.3,-600.0
Suriname,SUR,623236,0.008407222833473504,2.322,70.289,8.637,14.8,-1000.0
Slovak Republic,SVK,5426740,-0.0009227225396152284,1.57,77.0658536585366,11.0,4.9,156467.0
Slovenia,SVN,2120937,0.004238190972856826,1.55,81.28292682926829,10.6,1.9,2000.0
Sweden,SWE,10536632,0.004738369368150419,1.52,83.10975609756099,9.0,2.0,39998.0
Eswatini,SWZ,1210822,0.007616067639202083,2.785,56.36,11.883,39.7,-5500.5
Sint Maarten (Dutch part),SXM,41163,0.0067256896889063,1.572,74.409,6.0,,0.0
Seychelles,SYC,119773,-0.0008758904886634333,2.32,73.84878048780486,7.8,12.5,-200.0
Syrian Arab Republic,SYR,23227014,0.04979672771140331,2.704,72.29999999999998,5.047,17.8,745703.5
Turks and Caicos Islands,TCA,46062,0.007855064218978969,1.658,74.92499999999998,9.04,4.1,200.0
Chad,TCD,18278568,0.03132895849337447,6.215,52.997,12.157,64.1,-2000.0
East Asia & Pacific (IDA & IBRD countries),TEA,2107522258,0.0021239954243372767,1.5223214467507045,76.21067445383898,7.5271067627806385,12.271956525238393,-535685.0
Europe & Central Asia (IDA & IBRD countries),TEC,457326090,-3.533240157749251e-05,1.8327234702358293,73.95449493767248,10.922987120914344,8.89085767210868,-711118.5
Togo,TGO,9053799,0.023178548620537365,4.196,61.588,8.213,42.1,-2000.0
Thailand,THA,71801279,0.0014540211777251957,1.317,79.68,7.487,7.0,18999.0
Tajikistan,TJK,10143543,0.01916608885531268,3.141,71.288,4.695,26.7,-19999.0
Turkmenistan,TKM,6516100,0.013269017551552851,2.617,69.41,6.585,35.0,-4000.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,648763330,0.007577349370541331,1.846093262833005,73.64381041784624,7.525907296072633,13.563463067560413,-182804.0
Timor-Leste,TLS,1360596,0.014389068483019464,3.047,69.056,6.535,41.5,-5000.0
