href,Occupation,type,grp,group
/ooh/life-physical-and-social-science/chemical-technicians.htm,Chemical Technicians,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/geological-and-petroleum-technicians.htm,Geological and Hydrologic Technicians,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/nuclear-technicians.htm,Nuclear Technicians,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm,Environmental Science and Protection Technicians,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/life-physical-and-social-science/forensic-science-technicians.htm,Forensic Science Technicians,occupation,life-physical-and-social-science,"Life, Physical, and Social Science"
/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",occupation,community-and-social-service,Community and Social Service
/ooh/community-and-social-service/school-and-career-counselors.htm,School and Career Counselors and Advisors,occupation,community-and-social-service,Community and Social Service
/ooh/community-and-social-service/marriage-and-family-therapists.htm,Marriage and Family Therapists,occupation,community-and-social-service,Community and Social Service
/ooh/community-and-social-service/rehabilitation-counselors.htm,Rehabilitation Counselors,occupation,community-and-social-service,Community and Social Service
/ooh/community-and-social-service/social-workers.htm,Social Workers,occupation,community-and-social-service,Community and Social Service
/ooh/community-and-social-service/probation-officers-and-correctional-treatment-specialists.htm,Probation Officers and Correctional Treatment Specialists,occupation,community-and-social-service,Community and Social Service
/ooh/community-and-social-service/social-and-human-service-assistants.htm,Social and Human Service Assistants,occupation,community-and-social-service,Community and Social Service
/ooh/legal/lawyers.htm,Lawyers,occupation,legal,Legal
/ooh/legal/paralegals-and-legal-assistants.htm,Paralegals and Legal Assistants,occupation,legal,Legal
/ooh/education-training-and-library/postsecondary-teachers.htm,Postsecondary Teachers,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/preschool-teachers.htm,Preschool Teachers,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,Kindergarten and Elementary School Teachers,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/middle-school-teachers.htm,Middle School Teachers,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/career-and-technical-education-teachers.htm,Career and Technical Education Teachers,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/special-education-teachers.htm,Special Education Teachers,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,Adult Basic and Secondary Education and ESL Teachers,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/curators-museum-technicians-and-conservators.htm,"Archivists, Curators, and Museum Workers",occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/librarians.htm,Librarians and Library Media Specialists,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/library-technicians-and-assistants.htm,Library Technicians and Assistants,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/instructional-coordinators.htm,Instructional Coordinators,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/education-training-and-library/teacher-assistants.htm,Teacher Assistants,occupation,education-training-and-library,"Education, Training, and Library"
/ooh/arts-and-design/art-directors.htm,Art Directors,occupation,arts-and-design,Arts and Design
/ooh/arts-and-design/multimedia-artists-and-animators.htm,Special Effects Artists and Animators,occupation,arts-and-design,Arts and Design
/ooh/arts-and-design/industrial-designers.htm,Industrial Designers,occupation,arts-and-design,Arts and Design
/ooh/arts-and-design/fashion-designers.htm,Fashion Designers,occupation,arts-and-design,Arts and Design
/ooh/arts-and-design/floral-designers.htm,Floral Designers,occupation,arts-and-design,Arts and Design
/ooh/arts-and-design/graphic-designers.htm,Graphic Designers,occupation,arts-and-design,Arts and Design
/ooh/arts-and-design/interior-designers.htm,Interior Designers,occupation,arts-and-design,Arts and Design
/ooh/entertainment-and-sports/actors.htm,Actors,occupation,entertainment-and-sports,Entertainment and Sports
